sale		Points:2		[(3,3), (2,2), (2,1), (2,0)]
salt		Points:2		[(3,3), (2,2), (2,1), (3,2)]
sat		Points:1		[(3,3), (2,2), (3,2)]
saucy		Points:3		[(3,3), (2,2), (1,1), (0,1), (0,2)]
sault		Points:3		[(3,3), (2,2), (1,1), (2,1), (3,2)]
stab		Points:2		[(3,3), (3,2), (2,2), (1,3)]
stale		Points:3		[(3,3), (3,2), (2,2), (2,1), (2,0)]
star		Points:2		[(3,3), (3,2), (2,2), (2,3)]
starry		Points:4		[(3,3), (3,2), (2,2), (2,3), (1,2), (0,2)]
strafe		Points:4		[(3,3), (3,2), (2,3), (2,2), (3,1), (2,0)]
tab		Points:1		[(3,2), (2,2), (1,3)]
tabor		Points:3		[(3,2), (2,2), (1,3), (0,3), (1,2)]
tale		Points:2		[(3,2), (2,2), (2,1), (2,0)]
tar		Points:1		[(3,2), (2,2), (2,3)]
taro		Points:2		[(3,2), (2,2), (1,2), (0,3)]
tarry		Points:3		[(3,2), (2,2), (2,3), (1,2), (0,2)]
tars		Points:2		[(3,2), (2,2), (2,3), (3,3)]
tau		Points:1		[(3,2), (2,2), (1,1)]
tsar		Points:2		[(3,2), (3,3), (2,2), (2,3)]
ultra		Points:3		[(1,1), (2,1), (3,2), (2,3), (2,2)]
yule		Points:2		[(0,2), (1,1), (2,1), (2,0)]

Words: 103		Total 210
BUILD SUCCESSFUL (total time: 0 seconds)

____________________________________________________________________________________________

run:
ifsa
mind
fasb
ntiw

ads		Points:1		[(0,3), (1,3), (2,2)]
aft		Points:1		[(2,1), (2,0), (3,1)]
aim		Points:1		[(2,1), (1,1), (1,0)]
and		Points:1		[(2,1), (1,2), (1,3)]
ani		Points:1		[(2,1), (1,2), (1,1)]
anima		Points:3		[(0,3), (1,2), (1,1), (1,0), (2,1)]
ant		Points:1		[(2,1), (3,0), (3,1)]
anti		Points:2		[(2,1), (3,0), (3,1), (3,2)]
ants		Points:2		[(2,1), (3,0), (3,1), (2,2)]
bias		Points:2		[(2,3), (3,2), (2,1), (2,2)]
bit		Points:1		[(2,3), (3,2), (3,1)]
bits		Points:2		[(2,3), (3,2), (3,1), (2,2)]
fain		Points:2		[(2,0), (2,1), (1,1), (1,2)]
fan		Points:1		[(2,0), (2,1), (3,0)]
fans		Points:2		[(2,0), (2,1), (1,2), (2,2)]
fast		Points:2		[(2,0), (2,1), (2,2), (3,1)]
fat		Points:1		[(2,0), (2,1), (3,1)]
fats		Points:2		[(2,0), (2,1), (3,1), (2,2)]
fiat		Points:2		[(2,0), (1,1), (2,1), (3,1)]
fiats		Points:3		[(2,0), (1,1), (2,1), (3,1), (2,2)]
fin		Points:1		[(2,0), (1,1), (1,2)]
find		Points:2		[(2,0), (1,1), (1,2), (1,3)]
finds		Points:3		[(2,0), (1,1), (1,2), (1,3), (2,2)]
fins		Points:2		[(2,0), (1,1), (1,2), (2,2)]
fist		Points:2		[(2,0), (1,1), (2,2), (3,1)]
its		Points:1		[(3,2), (3,1), (2,2)]
main		Points:2		[(1,0), (2,1), (1,1), (1,2)]
mains		Points:3		[(1,0), (2,1), (1,1), (1,2), (2,2)]
man		Points:1		[(1,0), (2,1), (3,0)]
mans		Points:2		[(1,0), (2,1), (1,2), (2,2)]
mantis		Points:4		[(1,0), (2,1), (3,0), (3,1), (3,2), (2,2)]
mast		Points:2		[(1,0), (2,1), (2,2), (3,1)]
mat		Points:1		[(1,0), (2,1), (3,1)]
mats		Points:2		[(1,0), (2,1), (3,1), (2,2)]
mind		Points:2		[(1,0), (1,1), (1,2), (1,3)]
minds		Points:3		[(1,0), (1,1), (1,2), (1,3), (2,2)]
mist		Points:2		[(1,0), (1,1), (2,2), (3,1)]
naif		Points:2		[(3,0), (2,1), (1,1), (2,0)]
sad		Points:1		[(0,2), (0,3), (1,3)]
sand		Points:2		[(2,2), (2,1), (1,2), (1,3)]
sands		Points:3		[(2,2), (2,1), (1,2), (1,3), (0,2)]
sans		Points:2		[(2,2), (2,1), (1,2), (0,2)]
sat		Points:1		[(2,2), (2,1), (3,1)]
sift		Points:2		[(2,2), (1,1), (2,0), (3,1)]
sifts		Points:3		[(0,2), (1,1), (2,0), (3,1), (2,2)]
sin		Points:1		[(2,2), (1,1), (1,2)]
sins		Points:2		[(2,2), (1,1), (1,2), (0,2)]
sis		Points:1		[(2,2), (1,1), (0,2)]
sit		Points:1		[(2,2), (3,2), (3,1)]
stain		Points:3		[(2,2), (3,1), (2,1), (1,1), (1,2)]
stains		Points:4		[(2,2), (3,1), (2,1), (1,1), (1,2), (0,2)]
stamina		Points:6		[(2,2), (3,1), (2,1), (1,0), (1,1), (1,2), (0,3)]
stand		Points:3		[(2,2), (3,1), (2,1), (1,2), (1,3)]
stands		Points:4		[(2,2), (3,1), (2,1), (1,2), (1,3), (0,2)]
tam		Points:1		[(3,1), (2,1), (1,0)]
tan		Points:1		[(3,1), (2,1), (3,0)]
wit		Points:1		[(3,3), (3,2), (3,1)]
wits		Points:2		[(3,3), (3,2), (3,1), (2,2)]

Words: 58		Total 114
BUILD SUCCESSFUL (total time: 0 seconds)
